"fecha","matricula_area","area_academica","periodo","año_y"
"2016-02-01","5313","CIENCIAS DE LA EDUCACIÓN","2016-I","2016"
"2016-02-01","8245","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2016-I","2016"
"2016-02-01","1477","ESTOMATOLOGIA","2016-I","2016"
"2016-02-01","1151","CIENCIAS Y ARTES DEL HÁBITAT","2016-I","2016"
"2016-07-01","31"," CIENCIAS DE LA SALUD","2016-II","2016"
"2016-07-01","379","SIN AREA","2016-II","2016"
"2016-08-01","13","ESTOMATOLOGIA","2016-II","2016"
"2016-08-01","215","CIENCIA Y TECNOLOGIA","2016-II","2016"
"2016-08-01","188","CIENCIAS Y ARTES DEL HÁBITAT","2016-II","2016"
"2016-08-01","205","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2016-II","2016"
"2016-08-01","223","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2016-II","2016"
"2016-08-01","143","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2016-II","2016"
"2016-08-01","265","CIENCIAS SOCIALES","2016-II","2016"
"2016-09-01","726","CIENCIAS DE LA EDUCACIÓN","2016-II","2016"
"2017-01-01","6335","CIENCIAS DE LA EDUCACIÓN","2017-I","2017"
"2017-01-01","2174","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2017-I","2017"
"2017-01-01","1839","CIENCIA Y TECNOLOGIA","2017-I","2017"
"2017-01-01","5531","CIENCIAS SOCIALES","2017-I","2017"
"2017-01-01","1483","ESTOMATOLOGIA","2017-I","2017"
"2017-02-01","1995","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2017-I","2017"
"2017-02-01","3767"," CIENCIAS DE LA SALUD","2017-I","2017"
"2017-02-01","9741","SIN AREA","2017-I","2017"
"2017-02-01","9813","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2017-I","2017"
"2017-02-01","1456","CIENCIAS Y ARTES DEL HÁBITAT","2017-I","2017"
"2017-07-01","355","SIN AREA","2017-II","2017"
"2017-07-01","230","CIENCIAS SOCIALES","2017-II","2017"
"2017-08-01","224","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2017-II","2017"
"2017-08-01","126","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2017-II","2017"
"2017-09-01","829","CIENCIAS DE LA EDUCACIÓN","2017-II","2017"
"2017-09-01","114","CIENCIA Y TECNOLOGIA","2017-II","2017"
"2017-09-01","7"," CIENCIAS DE LA SALUD","2017-II","2017"
"2017-10-01","250","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2017-II","2017"
"2017-10-01","171","CIENCIAS Y ARTES DEL HÁBITAT","2017-II","2017"
"2017-10-01","9","ESTOMATOLOGIA","2017-II","2017"
"2018-01-01","2323","INGENIERIA DESARROLLO TECNOLOGICO PRODUCTIVO","2018-I","2018"
"2018-01-01","2039","CIENCIAS AGRÍCOLAS, PECUARIAS Y RECURSOS NATURALES","2018-I","2018"
"2018-01-01","3783"," CIENCIAS DE LA SALUD","2018-I","2018"
"2018-01-01","1923","CIENCIA Y TECNOLOGIA","2018-I","2018"
"2018-01-01","6046","CIENCIAS SOCIALES","2018-I","2018"
"2018-01-01","1466","ESTOMATOLOGIA","2018-I","2018"
"2018-01-01","1628","CIENCIAS Y ARTES DEL HÁBITAT","2018-I","2018"
"2018-01-01","7426","CIENCIAS DE LA EDUCACIÓN","2018-I","2018"
"2018-02-01","10852","SIN AREA","2018-I","2018"
"2018-04-01","11015","CIENCIAS ECONÓMICAS, FINANCIERAS Y ADMINISTRATIVAS","2018-I","2018"
